name,logo,link,tier
HackerRank,Hackerrank,https://www.hackerrank.com,1
Hackware,hackware_logo,https://www.hackware.io,1
Major League Hacking,mlh,https://www.mlh.io,1
Midatlantic Crossroads,MidAtlanticCrossroads,http://www.maxgigapop.net,1
Neelbauer Law LLC,neelbauer,http://www.neelbauerlaw.com,1
Startup Shell,startup-shell,http://startupshell.org,1
Terrapins Hackers,terrapin_hackers,http://terrapinhackers.com,1
CMNS,cmns,https://cmns.umd.edu,1
University of Maryland Department of Computer Science,cs,http://www.cs.umd.edu,1
University of Maryland Institute for Advanced Computer Studies,umiacs,http://www.umiacs.umd.edu,1
University of Maryland Division of Information Technology,DivLogo1,http://www.it.umd.edu,1
